,game,date,metacritic_score,review,thumbs_ups,total_thumbs
0,elden-ring,"Mar  8, 2022",5,,34,52
1,elden-ring,"Mar  3, 2022",7,,19,31
2,elden-ring,"Feb 26, 2022",10,<span>This is the ultimate version of Dark Souls thanks to its vast and gigantic open world.</span>,241,400
3,elden-ring,"Mar 12, 2022",6,"<span>If it's the GOTY, this year would be awful for gaming. It's just a Dark Souls 4 in an open world, nothing more. I you don't like the Dark Souls series and other look alike, you won't like this game too. The open world isn't revolutionary as some people said.</span>",31,52
4,elden-ring,"Feb 28, 2022",4,"it was supposed to be one of the best games ever but it didn't. From a technical point of view it has big problems both from the graphic point of view (it looks like a game of two generations ago) and from the performance point of view (the continuous drop in frames is unnerving). Incredible AI is also lost with NPCs and some bosses. The gameplay remains solid and clean. The last downside and perhaps the worst is the total recycling of assets as if it were a copy and paste. Had it been the sequel to dark souls 3 I would have also understood but not being the sequel, I find the recycling of assets in bad taste. Failed.",81,145
5,elden-ring,"Feb 28, 2022",5,,80,151
6,elden-ring,"Mar  6, 2022",5,"Definetly the worst game from the soul series, as it even gets to be called a ""soul series game"" even though it pretends (or was marketed pretending to) be something new and different. It is not. The game is a poor mixture of Dark Souls 3, Bloodborne and Sekiro. It's absolutely generic, as it copies infinite secondary and mini-bosses from the previous games. The game is an eternal liop in a poor open word, boring and repetitive, with no plot (contrary to what was sold, using the name of George R. R. Martin). After all that, graphics were far better on Demon Souls. Even still, the game struggles to load scenarios, hardly runs smooth on 60 fps using the performance mode and has a lot of issues. For example, I had one boss, wich was so generic I can't remind his name, being sanding still at his final 10% of life waiting for me to put him out of misery (wich was probably being a part of this game). Never seen such an overrated game. I only recomend it if you are in for some dark souls copied gameplay, wich may be fun. Don't expect more than that.",21,40
7,elden-ring,"Mar  2, 2022",5,"<span>It's far from a masterpiece.<br/><br/>Outdated graphics, poor optimization, simply not that great. I'd like to see reviews from journalists that aren't huge FS fans. This is a disgrace.</span>",62,119
8,elden-ring,"Feb 26, 2022",10,,122,237
9,elden-ring,"Feb 28, 2022",6,,83,163
10,elden-ring,"Mar  2, 2022",6,<span>Still the souls games are weak from the narrative telling factor.. the world are fantastic however the game its not for all the gamers.. its too hard.. nice to try but its not a fun experience for the beginners..</span>,48,96
11,elden-ring,"Mar  2, 2022",6,<span>The frame rate is bad in the performance mode. Rock solid 60 fps is mandatory for such game where your reflex plays first role. I do not understand why you have released it knowing how it works…</span>,47,95
12,elden-ring,"Mar  2, 2022",4,"This is sadly a terribly over hyped game it seems like 90% of this games budget went to advertising it,upon playing it I see that the same exact game could have been made as a mod with Dark Souls asset packs on PC,the combat is the exact same the other games minus a jump attack,same janky camera bad hit detection and sometimes unresponsive controls,no doubt in my mind these gaming outlets were paid off big time for the laughably inflated 10 score this is kind of a shell of a game,and will probably be bargain   bin fodder in 2 to 3 months",40,81
13,elden-ring,"Mar  3, 2022",5,,56,114
14,elden-ring,"Feb 26, 2022",10,"<span>I like the game a lot. The performance on PS5 is not ideal yet, but exploring the open world is super cool.</span>",92,192
15,elden-ring,"Feb 28, 2022",3,,41,86
16,elden-ring,"Mar  2, 2022",3,"<span>Don't believe professional reviewers. I played the series from Demon's Souls on PS3, there is not much changed. Everything about this game is outdated, with usually terrible controls for 2022, fight mechanics, interface, boss fight patterns. The only cool thing is boss designs.<br/>If this game would not have a badge of From Software it would never be given more than 5 out of 10 score.</span>",18,38
17,elden-ring,"Mar  1, 2022",5,"Very pretty but after a while you feel the world is silent and alone, often feeling like a fantasy MMO with no other people playing.  It's not that the game is bad just the world while surprising at times is often very quiet.  It also seems to be a large map of ""lets see what's over there and can I kill it?""  I'm not sure what exactly is says about a game that the community is more concerned with finding leveling exploit spots than discussing the game it's self.  If you like a constant string of challenging combat this will be for you.  Everyone else?  It's okay to explorers their is a lot to see.  Anyone who likes a game to give you an explanation of how things work and where things are...you will not find that.",52,110
18,elden-ring,"Feb 26, 2022",10,<span>What an incredible game this is a wholesome openworld game I dont understand why some of the idiots are writing emotional review how could people without rational judgment write a review?</span>,56,119
19,elden-ring,"Mar  2, 2022",6,,46,98
20,elden-ring,"Feb 26, 2022",3,"This game is the same of what they already made except it’s all been thrown onto a huge map , the sound used for enemy is awe full and the performance makes the game almost unplayable , it’s a good game but the scores are lies and it’s not a masterpiece , I’m enjoying playing it even though it’s difficult when it stutters .I refuse to lie about something being perfect when it ain’t , bluepoints remake of dark souls was indeed better , I’ve played all the souls games and beat them and Elden ring is the worst .",35,75
21,elden-ring,"Feb 26, 2022",3,<span>This game has nothing more compare to previous games why keep lying to ourselves?? After all these years is this what we got?</span>,40,87
22,elden-ring,"Feb 27, 2022",10,<span>No graphics issue on ps5. Stop review bombing this game based on pc performance! Throughly enjoyed my 10+ hours PER DAY in the last three days. Honestly think this is game of the decade. Open world is full of interesting stuff. You JUST NEED TO LOOK FOR THEM!</span>,51,111
23,elden-ring,"Feb 26, 2022",10,"<span>FROMSOFT delivers yet again. Please buy this; support this company, there one of the very few good ones left.</span>",88,194
24,elden-ring,"Mar  2, 2022",2,,39,86
25,elden-ring,"Feb 27, 2022",0,<span>This ain't it chief. This ain't it. This genre with graphics and gameplay is stuck in 2009.</span>,36,80
26,elden-ring,"Feb 28, 2022",1,,37,83
27,elden-ring,"Feb 27, 2022",4,"<span>Elden ring is dark souls 3 open world I tried to like this game because all the media hype , but souls games are boring grind fest games that I can't seem to enjoy.</span>",31,70
28,elden-ring,"Feb 26, 2022",2,"<span>This game is overrated. It's just a gift to fans of the Dark Soul series, not an incredibly groundbreaking game as the critic said. I still wonder if it was worth mentioning The Legend of Zelda: Breath of the Wild in the evaluation of this game.</span>",37,84
29,elden-ring,"Feb 26, 2022",9,"<span>I haven't had any performance issues so far, but after around 20h of playing so far, I can confidently say, this is my favourite FromSoft game to date.</span>",35,80
30,elden-ring,"Feb 26, 2022",10,,66,151
31,elden-ring,"Feb 26, 2022",0,,38,87
32,elden-ring,"Feb 26, 2022",0,"0/10 just for the shills putting 10/10. Its not a 10/10 , its not a 9/10, its not an 8/10....its a 6. This game is just average at best. Fun can be had and so can frustration as it is a souls game. The open world is not good at all. Its boring and feels like a chore while graphics are subpar due to from software not being talented enough to optimize games. And thats a fact. Wait for this to go on a sale as by then maybe they will have many of its core design issues fixed.",33,77
33,elden-ring,"Feb 26, 2022",1,<span>boring empty world and literally no story. there is no codex or anything to keep track of stuff and it just looks like it was developed for ps3</span>,34,80
34,elden-ring,"Feb 28, 2022",4,,58,140
35,elden-ring,"Feb 27, 2022",0,"If bosses have literally endless amount of combos and special attacks, one after another and then you can maybe get one hit and most of the fight you are just in defense mode, rolling around endlessly, trying to escape, not fight. This is pathetic. This is not good combat design. This is awful. Unless you love to just endlessly run away and feel how pathetic you are, maybe you gonna love this combat, but i like games where you can actually truly fight back or have cool battles. Rolling around and hoping to get one hit between 30 seconds is not fun or good design. Jesus christ this game is overrated.",27,66
36,elden-ring,"Mar  1, 2022",2,"<span>The game is not as inventive as critics say, and the graphics and performance aren’t satisfactory for an AAA game in 2022.</span>",46,113
37,elden-ring,"Mar  1, 2022",0,,45,111
38,elden-ring,"Feb 26, 2022",1,"<span>Souls fan are like pokemon fans, you can put the absolute min amount of effort into a game and they will always think its the greatest thing ever.</span>",44,109
39,elden-ring,"Feb 28, 2022",1,"<span>Game have several graphic issues, it does not feel rewarding too explore since it almost always thrash rewards. Game on shelf for now, at least until the fps could hit 60 at least.</span>",35,87
40,elden-ring,"Feb 28, 2022",2,,37,92
41,elden-ring,"Feb 28, 2022",1,"Steam Pile of overhyped crap.. Graphics are ok.. Nothing to get excited about, Gameplay is ok, Menu / UI is god awful tutorial and understanding of the game might as well be here's a helmet get out there. and there was nothing to get me hooked or even wanting more.. ii know its a souls game.. but i spent 2 hours dead.. just because its hard / you can doesn't make it a good game.. co written by who  i would'nt know cause i never even got a chance to hear the story..  bad game. if this is a good game guess its time for me to hang up my gaming boots",45,112
42,elden-ring,"Feb 28, 2022",4,,59,147
43,elden-ring,"Feb 26, 2022",2,"<span>Very bad performance on PS5，not even stable for 60 frames in performance mode！By the way, where is the promised Dualsense？！！I bought the PS5 version instead of PC just for Dualsense, but it doesn't exist！！！This is deception！！！！Those media who give 10 points, are you blind？If you don't need your eyes， please donate them to those who need it！</span>",60,150
44,elden-ring,"Mar  1, 2022",0,<span>This game is a joke. Bad performance and outdated graphics. You can't thrust any reviews anymore. This game brings nothing new to the table and after playing horizon fw it feels like a trip back in time</span>,54,135
45,elden-ring,"Mar  1, 2022",1,,50,125
46,elden-ring,"Mar  1, 2022",0,,48,120
47,elden-ring,"Mar  1, 2022",3,,48,120
48,elden-ring,"Mar  2, 2022",0,"<span>Dark souls 4 - a very typical souls game, with impossible difficulty, crypted story (to hide a bare presence of any) and dated graphics. For those who have no life, but endless time to fight this boss again and again and again and again.</span>",46,115
