,game,date,metacritic_score,review,thumbs_ups,total_thumbs
0,Psychonauts 2,"Aug 26, 2021",10,"<span>A real wonderful piece of art, enjoying almost every bit of it , definately worth a look.</span>",24,41
1,Psychonauts 2,"Aug 26, 2021",0,<span>This game gives you headache because of how bad it is.and gets repetitive so fast. Just worth a try on game pass</span>,27,112
2,Psychonauts 2,"Oct  5, 2021",9,"<span>Many thanks and love to the artists, devs and others behind this game, it is really good in many aspects. I didn't played the first title, however it hit me like the first time i heard the phrase ""the leader of the free world"". -1 because of the missing translations...</span>",2,2
3,Psychonauts 2,"Sep  7, 2021",10,<span>Absolutely delivered as a follow-up to the first one with 15 years worth of nostalgia and inflated expectations. Some of the most endearing character writing in a game I’ve experienced. I dream of a remake of the first game with this gameplay and graphical fidelity.</span>,2,2
4,Psychonauts 2,"Aug 30, 2021",10,"<span>Fantastic game. It does almost everything the first game does but better. I did miss a milkman-ish or boardgame type level, but the game offers other things that compensates. 10/10 best game I have played this year, and an instant classic.</span>",1,1
5,Psychonauts 2,"Dec 31, 2021",9,"<span class=""blurb blurb_expanded"">The level design, art direction, dialogue and music are all top notch. The level design specifically is some of the best I've seen - varied, clever, wowing. Psychonauts 2 is a worthy successor to Psychonauts and in those areas improves on part 1, while not disappointing in any of the other areas. It's close to a masterpiece and deserves a spot in Game of the Year lists.
<br/>
<br/>Its weak points are shared with #1 as well though - combat is there, and there's some new and better enemies, but it's not really challenging and it becomes a bit of a chore. The boss fights are well-designed, but also not particularly hard, although I found them entertaining - the rest of the combat gets a bit in the way of what is otherwise a thoroughly enjoyable game. The other thing I expected to have been improved upon was the accuracy of the platforming. It's not too easy or too hard, but sometimes it's hard because it's hard to see what you're doing and you feel like  you're just rolling the dice on a jump.
<br/>
<br/>Still, I'm sad I finished the game - I enjoyed every hour spent playing it, and there were a little over 30 of them, in which I completed the story and about 90% of all the collectables. I could (and probably will) spend another 5-10 hours completing everything.</span>",1,1
6,Psychonauts 2,"Sep 13, 2021",8,"<span class=""blurb blurb_expanded"">For those looking for a well-made 3D platformer that follows a good linear story, this is close to a must play. The levels ooze with creativity and character, from the themes to the actual challenges. The production values are also significantly higher than I imagined going in - this is in fact a big game, including an enormous overworld hub.
<br/>
<br/>It should be said, however, that the collectathon design is severely lacking at times, mainly because the worlds are a linear sequence of events rather than open wide spaces. The game will often trigger cutscenes without your input, forcing you to leave collectibles behind (even when they're on plain sight). i really have no problem with backtracking in games like this, but when the need to do so comes from this sort of pacing problem, it can lead to some frustration.</span>",1,1
7,Psychonauts 2,"Dec  9, 2021",9,"<span>This is great game: storytelling, design, but please add Russian language!!</span>",1,1
8,Psychonauts 2,"Aug 29, 2021",10,<span>Great game! Best platform ever made. Recommend to everyone. A good continuation of 1st part of psychonauts.</span>,1,1
9,Psychonauts 2,"Nov 12, 2021",6,<span>Rewelacyjna wizualnie i aranżacyjnie. Niestety zagadki są nieczytelne - zwłaszcza kłębki myśli. Zbyt wiele momentów kiedy nie bardzo wiadomo co robić.</span>,1,1
10,Psychonauts 2,"Nov  9, 2021",6,"<span>Not a bad game by any means but it's for those who care more for the art and story telling than the ones who seek quality gameplay and solid game mechanics, I don't like neglecting either and this game started feeling like a chore pretty fast...</span>",1,1
11,Psychonauts 2,"Aug 27, 2021",8,"<span class=""blurb blurb_expanded"">Penso che Psychonauts 2 sia un buon gioco nella sua categoria di appartenenza, e cioè Platformer game! Riprende le macchine del primo, svecchiandole aggiungendo un gameplay molto più fluido! I personaggi sia il protagonista che i comprimari sono tutti molto ben caratterizzati. Certo ci sono cmq piccoli difetti, come alcuni cali di frame rate, poca reattività nel comando di evasione, durante i combattimenti e che è un mix di tanti giochi messi insieme, e che purtroppo non è per nulla originale! Lo consiglio cmq perché è molto divertente e piacerà sicurante agli amanti del genere.</span>",1,1
12,Psychonauts 2,"Jan  6, 2022",7,"<span>Some really good ideas, mostly esthetically. Game design feels inspired, but also kind of outdated. Everyone praised the writing, I think it's just ok.</span>",1,1
13,Psychonauts 2,"Aug 26, 2021",9,<span>Psychonauts 2 is a perfect sequel in my eyes it did everything i wanted it to.</span>,13,16
14,Psychonauts 2,"Aug 26, 2021",10,"<span>Sadly there appears to be weird review bombing on here. Honestly, everything and more I could have hoped for in a sequel. Same sort of idea but on a larger level. The platforming and combat are way tighter and more evolved. For anyone looking for a great controlling, super quirky, collectathon platformer with a lot of combat it's great.</span>",10,13
